client_id,full_name,tax_registration_country,residential_address,registration_address,postal_address
31012_WBQ,фл ЯРОСЛАВ YRX,USA,"по-своему., хакатоне, ., , КНДР,  ), ПОД/ФТ","КНДР,  ), таких, ежедневно,  ), создать",null
25528_QBS,фл РЮРИК TGG,null,null,"банк, проходим, невозможно, ., , ., , Иран",null
64649_UCE,фл ДРОЗДОВ FFG,IRN,null,null,null
23101_NDE,фл КУЗЬМИНИЧНА ECX,RUS,"лишаются, ., ,  ., автоматизации, Северная Корея, примерить","КНДР, операции, вам, ., , ., , сценарий",['случайный адрес']
60732_MWB,фл КУЛАКОВА PTO,PRK,null,['случайный адрес'],['случайный адрес']
64924_VWC,фл ФАИНА WJI,null,['случайный адрес'],"не, Северная Корея,  ), выполнения, пройдя, .",['случайный адрес']
52125_QOA,фл КИРИЛЛ WMZ,IRN,null,"Соблюдение, .,  ), требований, Иран, случаях,",null
22081_CTG,фл МАРИЯ HFO,RUS,"по,  ., В, не, ., , Иран","ежедневно, ( , требования, это, Иран,  .",['случайный адрес']
55082_KMW,фл БЛОХИНА NLY,null,"не, которые, экспертов, Северная Корея, ., , ., ",['случайный адрес'],null
44035_XEA,фл ПЕЛАГЕЯ NKR,RUS,['случайный адрес'],['случайный адрес'],['случайный адрес']
18466_KYU,фл ЕРОФЕЕВИЧ LDN,null,"невозможно, .,  ., Иран, проанализировать, ПОД/ФТ",null,['случайный адрес']
18336_HSS,фл ВЕНИАМИНОВНА RAF,RUS,null,['случайный адрес'],null
22524_URM,фл ФРОЛОВА CJW,null,['случайный адрес'],null,null
30712_EFB,фл ОРЛОВ OGM,null,['случайный адрес']," ., Поэтому, этом, ., , Северная Корея, его.",['случайный адрес']
31631_TBI,фл ПЕТР JMF,null,null,null,"уточняющие, бизнес, Иран, ( , ., , банком"
49502_BMX,фл ДИМИТРИЕВИЧ JKL,RUS,['случайный адрес'],null,['случайный адрес']
55837_NBN,фл ПОЛИКАРП DOF,PRK,['случайный адрес'],null,['случайный адрес']
18123_WBB,фл АФАНАСЬЕВ SUO,USA,"., , поможет, КНДР, автоматизации, и, ( ",['случайный адрес'],['случайный адрес']
53165_WKY,фл ЭРНСТ FUT,null,['случайный адрес'],['случайный адрес'],['случайный адрес']
29415_OPB,фл ЧЕСЛАВОВИЧ UEM,null,null,['случайный адрес'],null
63309_CRO,фл ГРИГОРЬЕВА NIM,RUS,null,['случайный адрес'],['случайный адрес']
58974_IGR,фл ВОРОБЬЕВА OOK,IRN,null,['случайный адрес'],['случайный адрес']
62346_IGD,фл ВЯЧЕСЛАВОВИЧ BVM,RUS,['случайный адрес'],['случайный адрес'],null
52097_QLY,фл АГАТА LIJ,RUS,"раз, ., ( , банком, вопросы, Иран",null,['случайный адрес']
43877_YAQ,фл ЛАРИСА OVI,USA,null,['случайный адрес'],['случайный адрес']
30830_OCN,фл АГАТА DWZ,null,null,['случайный адрес'],"Иран, ., , не, мы, узнать, ( "
45823_NDJ,фл АНДРЕЕВИЧ OQN,USA,['случайный адрес'],null,null
55002_BGH,фл ОНУФРИЙ JRM,null,null,['случайный адрес'],null
34615_LOH,фл ГУСЕВА XJH,PRK,null,['случайный адрес'],['случайный адрес']
16809_ZUN,фл СОРОКИН WQY,RUS,['случайный адрес'],['случайный адрес'],['случайный адрес']
26847_ROY,фл ВАСИЛЬЕВНА QOW,USA,null,['случайный адрес'],['случайный адрес']
62137_CWG,фл ОРЕСТ CII,IRN,['случайный адрес'],null,['случайный адрес']
44080_XTE,фл ИГОРЕВИЧ SPK,RUS,['случайный адрес'],['случайный адрес'],['случайный адрес']
38682_HFI,фл НАУМОВНА UYT,null,['случайный адрес'],['случайный адрес'],null
34594_RWN,фл РУСЛАНОВНА ZKE,null,['случайный адрес'],['случайный адрес'],['случайный адрес']
26573_GXB,фл ВИТАЛЬЕВИЧ DGG,RUS,"примерить, ., , операции, ., , sql-запроса, Северная Корея",null,['случайный адрес']
30494_QVB,фл РЕГИНА FKC,USA,"роль, выполнения, со,  ), Северная Корея, .",['случайный адрес'],null
38443_IDZ,фл ЧЕСЛАВОВИЧ OAK,USA,null,['случайный адрес'],null
23082_ELS,фл ЕКАТЕРИНА CQC,IRN,['случайный адрес'],null,null
22462_OCY,фл АННА IGH,RUS,null,null,null
41282_RDA,фл ЖАННА DVA,null,['случайный адрес'],"иными, КНДР, вопросы, ., трактует, ( ",['случайный адрес']
22722_JOL,фл КУЗЬМИНИЧНА WIM,null,['случайный адрес'],null,['случайный адрес']
39910_BJY,фл ФЕДОСЕЕВ YOD,RUS,['случайный адрес'],['случайный адрес'],['случайный адрес']
38925_ZBJ,фл ФЕДОСЕЕВ EPQ,USA,['случайный адрес'],['случайный адрес'],"., тематике, ГлоуБайта,, банк, КНДР,  ."
55949_RRJ,фл ЛАРИОНОВА LQN,RUS,null,['случайный адрес'],['случайный адрес']
33719_OWZ,фл МОРОЗОВ MFC,RUS,null,null,['случайный адрес']
19231_TYG,фл ЭЛЬДАРОВНА JGH,PRK,['случайный адрес'],['случайный адрес'],['случайный адрес']
64207_EUE,фл ЕКАТЕРИНА NTD,USA,null,['случайный адрес'],null
46492_KEY,фл ЕФИМЬЕВИЧ MAX,RUS,['случайный адрес'],['случайный адрес'],['случайный адрес']
51526_UKR,фл СИДОР HTU,RUS,['случайный адрес'],['случайный адрес'],['случайный адрес']
24564_TGE,фл ЗАХАРЬЕВИЧ UOE,RUS,"формате, ( , КНДР, ., , На, вам",['случайный адрес'],['случайный адрес']
41191_SJB,фл ВЕНИАМИНОВНА LGS,null,['случайный адрес'],"Северная Корея, задать, ., , задача,, настроить, ., ",['случайный адрес']
21548_MFX,фл АННА VFC,USA,['случайный адрес'],['случайный адрес'],['случайный адрес']
52562_JVW,фл ЩУКИН NUP,USA,['случайный адрес'],['случайный адрес'],['случайный адрес']
35597_FRK,фл ЕФИМОВНА HTV,null,['случайный адрес'],['случайный адрес'],['случайный адрес']
57582_HBU,фл НАУМОВНА EBD,RUS,['случайный адрес'],"занимаются, КНДР, требуется,  ),  ), автоматизация",['случайный адрес']
56919_JNR,фл ВАЛЕРИЕВНА QQH,PRK,['случайный адрес'],['случайный адрес'],"Иран,  ., доходов, требования, В, ( "
40084_VIA,фл РОБЕРТОВНА EAB,RUS,['случайный адрес'],['случайный адрес'],['случайный адрес']
54221_WGP,фл СЕМЕН AZH,IRN,null,['случайный адрес']," ), Рады, ., процесс., которые, Северная Корея"
28985_ZAP,фл ЖАННА SSG,IRN,"Северная Корея, создать, автоматизации, ., в, ., ",null,['случайный адрес']
62558_IUL,фл КУЗЬМИН AFK,USA,['случайный адрес'],['случайный адрес'],null
20942_ZDX,фл РЮРИК ZMU,PRK,null,null,['случайный адрес']
19387_EBL,фл СОФОН CTD,USA,['случайный адрес'],['случайный адрес'],null
59720_NUR,фл АВДЕЙ UBM,null,"по, КНДР, ., , ( , и, и",['случайный адрес'],['случайный адрес']
31319_YTF,фл ФОКИЧ XGJ,IRN,['случайный адрес'],null,"проанализировать, этот,  ., КНДР, если, ( "
35349_LYX,фл ЗЫКОВА DTG,null,['случайный адрес'],null," ), Иран, не, Банкам, ., , сложностями"
21613_QRD,фл ВЕРА GZF,PRK,['случайный адрес'],null,null
31640_XNR,фл ВОРОНЦОВА NZM,RUS,"банки, ( ,  ), Иран, На, операций,",['случайный адрес'],null
23003_ISO,фл ОРЛОВА YES,RUS,null,"законов, соблюдения, тематике, КНДР,  ),  .",['случайный адрес']
41295_ERJ,фл АВГУСТОВИЧ NGQ,null,null,['случайный адрес'],['случайный адрес']
